date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
1947,0,113,68,0,46,112,983,143,136,27,135,103,352,1028,248,209,201,112,80,49,114,353,699,497,89,269,33,263,4,39,282,50,1249,289,125,1354,96,119,448,142,55,61,171,230,43,48,170,209,135,332,23
1948,0,128,208,0,165,147,5481,124,126,137,274,234,100,1130,416,1183,321,192,153,47,139,190,780,1427,157,335,66,695,12,23,802,80,1497,2239,139,1161,340,213,740,11,369,932,400,1357,214,32,583,376,178,666,78
1949,0,46,256,0,164,993,2607,675,657,107,285,247,511,2906,1141,1210,755,686,232,466,250,1807,2919,1891,355,1328,102,670,18,182,1529,207,5587,248,450,1792,1323,331,841,178,110,409,547,2313,292,158,339,594,349,1164,122
1950,20,43,279,61,171,334,2090,211,483,184,463,492,159,1916,597,1282,523,693,403,97,713,511,2014,591,397,415,46,438,12,23,886,140,4231,752,39,1802,525,515,1334,52,434,184,563,2747,81,33,1217,634,376,953,45
1951,28,14,677,32,292,443,3179,1077,294,66,344,656,126,1694,362,442,788,318,815,50,146,294,1479,579,691,701,134,434,40,37,448,141,1735,320,94,1131,659,362,776,15,125,129,708,1924,572,29,241,427,278,1370,204
1952,0,103,419,0,356,418,3721,791,368,118,574,578,313,3333,1144,2705,1370,1344,901,151,198,493,3114,3094,783,1009,232,1702,98,53,658,418,2361,1057,260,3052,955,462,1309,96,158,655,668,3498,457,54,583,996,610,1905,167
1953,0,32,457,0,385,322,3956,195,363,65,679,461,95,2023,639,605,513,377,433,320,543,629,2313,2231,343,885,249,234,57,115,759,108,3145,933,198,2608,554,338,1283,288,171,224,604,1698,222,117,748,418,516,755,75
1954,234,89,376,333,223,371,4660,397,448,88,1784,755,124,2210,867,1450,700,846,540,136,246,1054,2184,689,520,655,179,728,111,96,909,226,2468,739,119,2438,561,381,1436,122,321,142,601,3087,276,79,603,448,388,682,273
1955,173,55,169,55,128,174,2028,217,589,49,455,257,249,1285,431,516,260,409,367,187,257,3547,1074,538,179,264,148,273,85,197,624,123,2549,425,64,1160,285,416,646,410,289,71,229,1819,82,109,303,512,173,2160,39
1956,65,28,105,18,152,227,2159,164,128,11,369,196,109,1825,431,649,267,199,629,21,111,112,728,205,316,421,59,195,35,7,215,84,804,343,41,628,223,178,210,9,115,41,156,1355,223,32,237,206,111,554,41
1957,15,11,59,3,58,85,755,52,40,70,155,85,28,348,213,185,65,110,179,9,41,25,512,50,108,129,14,76,4,6,79,51,217,229,11,302,125,52,51,0,132,81,214,708,33,5,112,28,51,213,13
1958,76,28,62,2,34,41,311,22,44,10,259,53,12,240,156,79,29,87,76,2,27,29,1233,32,124,187,67,35,6,4,297,44,292,109,47,404,62,35,127,3,31,14,132,614,12,7,164,33,205,62,13
1959,5,8,154,20,62,193,346,18,60,4,155,103,8,213,95,285,115,75,105,46,24,81,272,138,87,305,10,94,7,2,67,34,353,190,14,174,109,118,134,7,59,11,213,378,8,7,192,158,119,38,2
1960,8,1,23,2,9,41,415,21,36,5,72,26,11,154,157,27,19,152,54,51,160,36,95,55,37,43,24,15,0,0,85,9,280,99,13,130,17,35,167,103,131,5,57,189,8,10,58,31,64,41,22
1961,4,2,11,0,9,26,98,11,5,3,38,30,15,37,23,22,9,28,56,6,45,16,39,8,27,28,4,7,0,3,28,6,256,21,5,48,4,17,61,1,33,5,26,75,7,9,18,34,33,34,1
1962,2,0,22,0,6,26,88,4,2,1,10,20,2,64,28,9,0,29,32,0,2,7,21,7,20,15,5,8,0,0,6,4,88,14,5,19,32,7,21,0,8,2,14,207,2,1,11,5,18,12,2
